"","Brands","followers"
"1","Aprilla","657,243"
"2","Avenger United","694,231"
"3","Bajaj Dominar","373,120"
"4","Bajaj Pulsar","2,494,983"
"5","Bajaj V","371,624"
"6","Hero MotorCorp","2,070,520"
"7","Honda","656,818"
"8","TVS Racing","170,644"
"9","TVS Apache","1,718,859"
"10","TVS Jupiter","237,659"
"11","TVS Motor company","304,041"
"12","TVS NTORQ","59,623"
"13","TVS Scooty","318,764"
"14","TVS Sport","108,481"
"15","TVS StarCity Plus","205,294"
"16","TVS Victor","284,482"
"17","TVS Wego","225,329"
"18","TVS XL","159,668"
"19","Vespa","1,724,171"
"20","Yamaha India","2,605,318"
