"","Brands","Tweets","Following","Followers","Likes","Location","Listed"
"1","Aprilla",317,9,861,19,"India",1
"2","Avenger United",1443,84,1998,323,"",2
"3","Bajaj Dominar",1435,0,1734,155,"India",3
"4","Bajaj Pulsar",3982,73,9123,412,"India",34
"5","Bajaj V",607,0,1071,49,"",2
"6","Hero MotorCorp",42156,18,116897,5259,"India",195
"7","Honda",6908,7,32645,450,"",46
"8","TVS Racing",524,218,2696,106,"",8
"9","TVS Apache",2045,18,16842,749,"",15
"10","TVS Jupiter",2338,129,2419,188,"",18
"11","TVS Motor company",6705,22,21037,1705,"",40
"12","TVS NTORQ",483,2,540,21,"",0
"13","TVS Scooty",2300,180,963,604,"",2
"14","TVS Sport",77,2,1995,6,"",1
"15","TVS StarCity Plus",292,2,2276,13,"",1
"16","TVS Victor",10,0,44,0,"",0
"17","TVS Wego",2790,165,1160,229,"",7
"18","TVS XL",67,0,33,0,"",0
"19","Vespa",3519,135,4862,222,"India",32
"20","Yamaha India",9467,18,110382,421,"Greater Noida, India",103
"21","Suzuki Motorcyle India",6604,33,30859,626,"India",75
"22","Mahindra Scooters",4986,496,6007,271,"India",51
"23","KTM India",3420,60,13550,231,"Pune, India",38
